"submissionID","submitterID","marker","referenceDB","referenceDB_simplified","pipeline","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other"
"submitter66_12S_12SAllFishDez2023_minderoo","submitter66","12S","12SAllFishDez2023","12SAllFishDez2023","minderoo","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES"
"submitter66_16S_16SAllFishDez2023_minderoo","submitter66","16S","16SAllFishDez2023","16SAllFishDez2023","minderoo","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES"
"submitter66_COI_COIMetazoa_minderoo","submitter66","COI","COIMetazoa","COIMetazoa","minderoo","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES"
"submitter66_COI_COIAllFishDez2023_minderoo","submitter66","COI","COIAllFishDez2023","COIAllFishDez2023","minderoo","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES"
"submitter37_12S_12SAllFishDez2023_cascabel","submitter37","12S","12SAllFishDez2023","12SAllFishDez2023","cascabel","other","OTU","sequence similarity","vsearch",80,NA,NA,"LCA","YES"
"submitter37_16S_16SAllFishDez2023_cascabel","submitter37","16S","16SAllFishDez2023","16SAllFishDez2023","cascabel","dada2","ASV","sequence composition","dada2",0.6,NA,NA,NA,"YES"
"submitter45_12S_12SAllFishDez2023_MLI","submitter45","12S","12SAllFishDez2023","12SAllFishDez2023","MLI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES"
"submitter45_COI_COIAllFishDez2023_MLI","submitter45","COI","COIAllFishDez2023","COIAllFishDez2023","MLI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES"
"submitter45_16S_NCBI_MLI","submitter45","16S","NCBI","NCBI","MLI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES"
"submitter60_12S_12SAllFishDez2023_OBITools","submitter60","12S","12SAllFishDez2023","12SAllFishDez2023","OBITools","fastp","OTU","sequence similarity","ecotag",NA,NA,NA,NA,NA
