"submissionID","marker","referenceDB","referenceDB_simplified","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other","screen_explanation","submitterID_anon","pipeline_anon"
"submitter66_12S_12SAllFishDez2023_pipeline13","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES","Filtering method using ASV read counts/proportions in control samples as described here https://www.sciencedirect.com/science/article/pii/S0048969724058133","submitter66","pipeline13"
"submitter66_16S_16SAllFishDez2023_pipeline13","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES","Filtering method using ASV read counts/proportions in control samples as described here https://www.sciencedirect.com/science/article/pii/S0048969724058133","submitter66","pipeline13"
"submitter66_COI_COIMetazoa_pipeline13","COI","COIMetazoa","COIMetazoa","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES","Filtering method using ASV read counts/proportions in control samples as described here https://www.sciencedirect.com/science/article/pii/S0048969724058133","submitter66","pipeline13"
"submitter66_COI_COIAllFishDez2023_pipeline13","COI","COIAllFishDez2023","COIAllFishDez2023","dada2","ASV","sequence similarity","blastn",NA,0.001,100,"LCA","YES","Filtering method using ASV read counts/proportions in control samples as described here https://www.sciencedirect.com/science/article/pii/S0048969724058133","submitter66","pipeline13"
"submitter37_12S_12SAllFishDez2023_pipeline76","12S","12SAllFishDez2023","12SAllFishDez2023","other","OTU","sequence similarity","vsearch",80,NA,NA,"LCA","YES","Remove singletons n=5 (abundance)","submitter37","pipeline76"
"submitter37_16S_16SAllFishDez2023_pipeline76","16S","16SAllFishDez2023","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.6,NA,NA,NA,"YES","Remove singletons n=5 (abundance); s=2 (number of samples)","submitter37","pipeline76"
"submitter45_12S_12SAllFishDez2023_pipeline36","12S","12SAllFishDez2023","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples","submitter45","pipeline36"
"submitter45_COI_COIAllFishDez2023_pipeline36","COI","COIAllFishDez2023","COIAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples","submitter45","pipeline36"
"submitter45_16S_NCBI_pipeline36","16S","NCBI","NCBI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples","submitter45","pipeline36"
"submitter60_12S_12SAllFishDez2023_pipeline26","12S","12SAllFishDez2023","12SAllFishDez2023","fastp","OTU","sequence similarity","ecotag",NA,NA,NA,NA,NA,NA,"submitter60","pipeline26"
