"submissionID","submitterID","marker","referenceDB","pipeline","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other","screen_explanation"
"submitter66_18S_PR2v500_cascabel","submitter66","18S","PR2v500","cascabel","dada2","ASV","sequence composition","dada2",0.7,NA,NA,NA,NA,NA
"submitter37_18S_CREST-v4_Swarm_in-house","submitter37","18S","CREST-v4","Swarm_in-house","","","","",NA,NA,"","",NA,NA
"submitter45_18S_PR2v5_ApscaleModified","submitter45","18S","PR2v5","ApscaleModified","vsearch","ASV","sequence composition","vsearch sintax",0.75,NA,NA,"LULU",NA,NA
"submitter60_18S_PR2v5_nf-core/ampliseq","submitter60","18S","PR2v5","nf-core/ampliseq","dada2","","","",NA,NA,"","",NA,NA
"submitter17_18S_PR2v5_QIIME2","submitter17","18S","PR2v5","QIIME2","dada2","ASV","sequence composition","qiime",0.7,NA,NA,NA,NA,NA
"submitter32_18S_PR2v5_LotuS2UPARSE","submitter32","18S","PR2v5","LotuS2UPARSE",NA,"OTU","sequence similarity","lambda",97,NA,NA,"LCA",NA,NA
"submitter29_18S_PR2v501_frogsDada2","submitter29","18S","PR2v501","frogsDada2","dada2","ASV","sequence similarity","blastn",NA,NA,NA,"Multi-affiliation",NA,NA
"submitter29_18S_PR2v501_frogsSwarm","submitter29","18S","PR2v501","frogsSwarm",NA,"ASV","sequence similarity","blastn",NA,NA,"nA","Multi-affiliation",NA,NA
"submitter11_18S_PR2v5_SAMBA","submitter11","18S","PR2v5","SAMBA","dada2","ASV","sequence composition","IDTAXA",0.5,NA,NA,NA,NA,NA
"submitter16_18S_PR2v5_SLIM","submitter16","18S","PR2v5","SLIM","dada2","OTU","sequence similarity","Vsearch",90,NA,NA,"LULU",NA,NA
"submitter94_18S_PR2v5_nf-core/ampliseq","submitter94","18S","PR2v5","nf-core/ampliseq","dada2","","","",NA,NA,"","",NA,NA
"submitter62_18S_NA_APSCALE","submitter62","18S",NA,"APSCALE","vsearch","OTU",NA,NA,NA,NA,NA,NA,NA,NA
"submitter14_18S_PR2v5_PacMAN","submitter14","18S","PR2v5","PacMAN","","","","",NA,NA,"","",NA,NA
"submitter34_18S_PR2v5_PipeCraft2_ASV","submitter34","18S","PR2v5","PipeCraft2_ASV","dada2","","","",NA,NA,"","",NA,NA
"submitter34_18S_PR2v5_PipeCraft2_OTU","submitter34","18S","PR2v5","PipeCraft2_OTU","dada2","","","",NA,NA,"","",NA,NA
