"sampleID","DATE","month","year","season"
"RA090107","07/01/2009",1,2009,"Winter"
"RA090120","20/01/2009",1,2009,"Winter"
"RA090205","05/02/2009",2,2009,"Winter"
"RA090218","18/02/2009",2,2009,"Winter"
"RA090306","06/03/2009",3,2009,"Spring"
"RA090320","20/03/2009",3,2009,"Spring"
"RA090403","03/04/2009",4,2009,"Spring"
"RA090416","16/04/2009",4,2009,"Spring"
"RA090504","04/05/2009",5,2009,"Spring"
"RA090518","18/05/2009",5,2009,"Spring"
"RA090602","02/06/2009",6,2009,"Summer"
"RA090616","16/06/2009",6,2009,"Summer"
"RA090701","01/07/2009",7,2009,"Summer"
"RA090716","16/07/2009",7,2009,"Summer"
"RA090731","31/07/2009",7,2009,"Summer"
"RA090814","14/08/2009",8,2009,"Summer"
"RA090828","28/08/2009",8,2009,"Summer"
"RA090914","14/09/2009",9,2009,"Autumn"
"RA090928","28/09/2009",9,2009,"Autumn"
"RA091012","12/10/2009",10,2009,"Autumn"
"RA091027","27/10/2009",10,2009,"Autumn"
"RA091110","10/11/2009",11,2009,"Autumn"
"RA091126","26/11/2009",11,2009,"Autumn"
"RA091210","10/12/2009",12,2009,"Winter"
"RA091223","23/12/2009",12,2009,"Winter"
"RA100111","11/01/2010",1,2010,"Winter"
"RA100125","25/01/2010",1,2010,"Winter"
"RA100208","08/02/2010",2,2010,"Winter"
"RA100219","19/02/2010",2,2010,"Winter"
"RA100309","09/03/2010",3,2010,"Spring"
"RA100324","24/03/2010",3,2010,"Spring"
"RA100407","07/04/2010",4,2010,"Spring"
"RA100422","22/04/2010",4,2010,"Spring"
"RA100506","06/05/2010",5,2010,"Spring"
"RA100521","21/05/2010",5,2010,"Spring"
"RA100607","07/06/2010",6,2010,"Summer"
"RA100621","21/06/2010",6,2010,"Summer"
"RA100706","06/07/2010",7,2010,"Summer"
"RA100720","20/07/2010",7,2010,"Summer"
"RA100805","05/08/2010",8,2010,"Summer"
"RA100819","19/08/2010",8,2010,"Summer"
"RA100903","03/09/2010",9,2010,"Autumn"
"RA100916","16/09/2010",9,2010,"Autumn"
