"DATE","sampleID","month","year","season"
"12/01/2007","RAMORPHO1",1,2007,"Winter"
"29/01/2007","RAMORPHO2",1,2007,"Winter"
"13/02/2007","RAMORPHO3",2,2007,"Winter"
"26/02/2007","RAMORPHO4",2,2007,"Winter"
"13/03/2007","RAMORPHO5",3,2007,"Spring"
"27/03/2007","RAMORPHO6",3,2007,"Spring"
"11/04/2007","RAMORPHO7",4,2007,"Spring"
"25/04/2007","RAMORPHO8",4,2007,"Spring"
"10/05/2007","RAMORPHO9",5,2007,"Spring"
"24/05/2007","RAMORPHO10",5,2007,"Spring"
"07/06/2007","RAMORPHO11",6,2007,"Summer"
"25/06/2007","RAMORPHO12",6,2007,"Summer"
"10/07/2007","RAMORPHO13",7,2007,"Summer"
"24/07/2007","RAMORPHO14",7,2007,"Summer"
"08/08/2007","RAMORPHO15",8,2007,"Summer"
"23/08/2007","RAMORPHO16",8,2007,"Summer"
"06/09/2007","RAMORPHO17",9,2007,"Autumn"
"20/09/2007","RAMORPHO18",9,2007,"Autumn"
"04/10/2007","RAMORPHO19",10,2007,"Autumn"
"19/10/2007","RAMORPHO20",10,2007,"Autumn"
"05/11/2007","RAMORPHO21",11,2007,"Autumn"
"19/11/2007","RAMORPHO22",11,2007,"Autumn"
"05/12/2007","RAMORPHO23",12,2007,"Winter"
"18/12/2007","RAMORPHO24",12,2007,"Winter"
"03/01/2008","RAMORPHO25",1,2008,"Winter"
"16/01/2008","RAMORPHO26",1,2008,"Winter"
"01/02/2008","RAMORPHO27",2,2008,"Winter"
"15/02/2008","RAMORPHO28",2,2008,"Winter"
"29/02/2008","RAMORPHO29",2,2008,"Winter"
"17/03/2008","RAMORPHO30",3,2008,"Spring"
"01/04/2008","RAMORPHO31",4,2008,"Spring"
"14/04/2008","RAMORPHO32",4,2008,"Spring"
"29/04/2008","RAMORPHO33",4,2008,"Spring"
"13/05/2008","RAMORPHO34",5,2008,"Spring"
"27/05/2008","RAMORPHO35",5,2008,"Spring"
"12/06/2008","RAMORPHO36",6,2008,"Summer"
"27/06/2008","RAMORPHO37",6,2008,"Summer"
"11/07/2008","RAMORPHO38",7,2008,"Summer"
"28/07/2008","RAMORPHO39",7,2008,"Summer"
"11/08/2008","RAMORPHO40",8,2008,"Summer"
"26/08/2008","RAMORPHO41",8,2008,"Summer"
"09/09/2008","RAMORPHO42",9,2008,"Autumn"
"23/09/2008","RAMORPHO43",9,2008,"Autumn"
"09/10/2008","RAMORPHO44",10,2008,"Autumn"
"22/10/2008","RAMORPHO45",10,2008,"Autumn"
"06/11/2008","RAMORPHO46",11,2008,"Autumn"
"20/11/2008","RAMORPHO47",11,2008,"Autumn"
"08/12/2008","RAMORPHO48",12,2008,"Winter"
"22/12/2008","RAMORPHO49",12,2008,"Winter"
"07/01/2009","RAMORPHO50",1,2009,"Winter"
"20/01/2009","RAMORPHO51",1,2009,"Winter"
"05/02/2009","RAMORPHO52",2,2009,"Winter"
"18/02/2009","RAMORPHO53",2,2009,"Winter"
"06/03/2009","RAMORPHO54",3,2009,"Spring"
"20/03/2009","RAMORPHO55",3,2009,"Spring"
"03/04/2009","RAMORPHO56",4,2009,"Spring"
"16/04/2009","RAMORPHO57",4,2009,"Spring"
"04/05/2009","RAMORPHO58",5,2009,"Spring"
"18/05/2009","RAMORPHO59",5,2009,"Spring"
"02/06/2009","RAMORPHO60",6,2009,"Summer"
"16/06/2009","RAMORPHO61",6,2009,"Summer"
"01/07/2009","RAMORPHO62",7,2009,"Summer"
"16/07/2009","RAMORPHO63",7,2009,"Summer"
"31/07/2009","RAMORPHO64",7,2009,"Summer"
"14/08/2009","RAMORPHO65",8,2009,"Summer"
"28/08/2009","RAMORPHO66",8,2009,"Summer"
"14/09/2009","RAMORPHO67",9,2009,"Autumn"
"28/09/2009","RAMORPHO68",9,2009,"Autumn"
"12/10/2009","RAMORPHO69",10,2009,"Autumn"
"27/10/2009","RAMORPHO70",10,2009,"Autumn"
"10/11/2009","RAMORPHO71",11,2009,"Autumn"
"26/11/2009","RAMORPHO72",11,2009,"Autumn"
"10/12/2009","RAMORPHO73",12,2009,"Winter"
"23/12/2009","RAMORPHO74",12,2009,"Winter"
"11/01/2010","RAMORPHO75",1,2010,"Winter"
"25/01/2010","RAMORPHO76",1,2010,"Winter"
"08/02/2010","RAMORPHO77",2,2010,"Winter"
"19/02/2010","RAMORPHO78",2,2010,"Winter"
"09/03/2010","RAMORPHO79",3,2010,"Spring"
"24/03/2010","RAMORPHO80",3,2010,"Spring"
"07/04/2010","RAMORPHO81",4,2010,"Spring"
"22/04/2010","RAMORPHO82",4,2010,"Spring"
"06/05/2010","RAMORPHO83",5,2010,"Spring"
"10/05/2010","RAMORPHO84",5,2010,"Spring"
"21/05/2010","RAMORPHO85",5,2010,"Spring"
"07/06/2010","RAMORPHO86",6,2010,"Summer"
"21/06/2010","RAMORPHO87",6,2010,"Summer"
"06/07/2010","RAMORPHO88",7,2010,"Summer"
"20/07/2010","RAMORPHO89",7,2010,"Summer"
"05/08/2010","RAMORPHO90",8,2010,"Summer"
"19/08/2010","RAMORPHO91",8,2010,"Summer"
"03/09/2010","RAMORPHO92",9,2010,"Autumn"
"16/09/2010","RAMORPHO93",9,2010,"Autumn"
"01/10/2010","RAMORPHO94",10,2010,"Autumn"
"15/10/2010","RAMORPHO95",10,2010,"Autumn"
"29/10/2010","RAMORPHO96",10,2010,"Autumn"
"15/11/2010","RAMORPHO97",11,2010,"Autumn"
"29/11/2010","RAMORPHO98",11,2010,"Autumn"
"15/12/2010","RAMORPHO99",12,2010,"Winter"
"13/01/2011","RAMORPHO100",1,2011,"Winter"
"28/01/2011","RAMORPHO101",1,2011,"Winter"
"11/02/2011","RAMORPHO102",2,2011,"Winter"
"25/02/2011","RAMORPHO103",2,2011,"Winter"
"14/03/2011","RAMORPHO104",3,2011,"Spring"
"28/03/2011","RAMORPHO105",3,2011,"Spring"
"12/04/2011","RAMORPHO106",4,2011,"Spring"
"26/04/2011","RAMORPHO107",4,2011,"Spring"
"04/05/2011","RAMORPHO108",5,2011,"Spring"
"11/05/2011","RAMORPHO109",5,2011,"Spring"
"20/05/2011","RAMORPHO110",5,2011,"Spring"
"25/05/2011","RAMORPHO111",5,2011,"Spring"
"09/06/2011","RAMORPHO112",6,2011,"Summer"
"24/06/2011","RAMORPHO113",6,2011,"Summer"
"11/07/2011","RAMORPHO114",7,2011,"Summer"
"25/07/2011","RAMORPHO115",7,2011,"Summer"
"08/08/2011","RAMORPHO116",8,2011,"Summer"
"23/08/2011","RAMORPHO117",8,2011,"Summer"
"05/09/2011","RAMORPHO118",9,2011,"Autumn"
"21/09/2011","RAMORPHO119",9,2011,"Autumn"
"04/10/2011","RAMORPHO120",10,2011,"Autumn"
"20/10/2011","RAMORPHO121",10,2011,"Autumn"
"02/11/2011","RAMORPHO122",11,2011,"Autumn"
"18/11/2011","RAMORPHO123",11,2011,"Autumn"
"05/12/2011","RAMORPHO124",12,2011,"Winter"
"19/12/2011","RAMORPHO125",12,2011,"Winter"
"04/01/2012","RAMORPHO126",1,2012,"Winter"
"18/01/2012","RAMORPHO127",1,2012,"Winter"
"01/02/2012","RAMORPHO128",2,2012,"Winter"
"16/02/2012","RAMORPHO129",2,2012,"Winter"
"05/03/2012","RAMORPHO130",3,2012,"Spring"
"16/03/2012","RAMORPHO131",3,2012,"Spring"
"02/04/2012","RAMORPHO132",4,2012,"Spring"
"16/04/2012","RAMORPHO133",4,2012,"Spring"
"30/04/2012","RAMORPHO134",4,2012,"Spring"
"14/05/2012","RAMORPHO135",5,2012,"Spring"
"29/05/2012","RAMORPHO136",5,2012,"Spring"
"13/06/2012","RAMORPHO137",6,2012,"Summer"
"28/06/2012","RAMORPHO138",6,2012,"Summer"
"12/07/2012","RAMORPHO139",7,2012,"Summer"
"27/07/2012","RAMORPHO140",7,2012,"Summer"
"10/08/2012","RAMORPHO141",8,2012,"Summer"
"27/08/2012","RAMORPHO142",8,2012,"Summer"
"10/09/2012","RAMORPHO143",9,2012,"Autumn"
"25/09/2012","RAMORPHO144",9,2012,"Autumn"
"09/10/2012","RAMORPHO145",10,2012,"Autumn"
"22/10/2012","RAMORPHO146",10,2012,"Autumn"
"07/11/2012","RAMORPHO147",11,2012,"Autumn"
"22/11/2012","RAMORPHO148",11,2012,"Autumn"
"06/12/2012","RAMORPHO149",12,2012,"Winter"
"21/12/2012","RAMORPHO150",12,2012,"Winter"
"07/01/2013","RAMORPHO151",1,2013,"Winter"
"21/01/2013","RAMORPHO152",1,2013,"Winter"
"04/02/2013","RAMORPHO153",2,2013,"Winter"
"19/02/2013","RAMORPHO154",2,2013,"Winter"
"06/03/2013","RAMORPHO155",3,2013,"Spring"
"21/03/2013","RAMORPHO156",3,2013,"Spring"
"03/04/2013","RAMORPHO157",4,2013,"Spring"
"19/04/2013","RAMORPHO158",4,2013,"Spring"
"03/05/2013","RAMORPHO159",5,2013,"Spring"
"16/05/2013","RAMORPHO160",5,2013,"Spring"
"03/06/2013","RAMORPHO161",6,2013,"Summer"
"17/06/2013","RAMORPHO162",6,2013,"Summer"
"02/07/2013","RAMORPHO163",7,2013,"Summer"
"17/07/2013","RAMORPHO164",7,2013,"Summer"
"31/07/2013","RAMORPHO165",7,2013,"Summer"
"14/08/2013","RAMORPHO166",8,2013,"Summer"
"29/08/2013","RAMORPHO167",8,2013,"Summer"
"13/09/2013","RAMORPHO168",9,2013,"Autumn"
"26/09/2013","RAMORPHO169",9,2013,"Autumn"
"14/10/2013","RAMORPHO170",10,2013,"Autumn"
"30/10/2013","RAMORPHO171",10,2013,"Autumn"
"12/11/2013","RAMORPHO172",11,2013,"Autumn"
"26/11/2013","RAMORPHO173",11,2013,"Autumn"
"11/12/2013","RAMORPHO174",12,2013,"Winter"
"23/12/2013","RAMORPHO175",12,2013,"Winter"
"10/01/2014","RAMORPHO176",1,2014,"Winter"
"24/01/2014","RAMORPHO177",1,2014,"Winter"
"10/02/2014","RAMORPHO178",2,2014,"Winter"
"24/02/2014","RAMORPHO179",2,2014,"Winter"
"10/03/2014","RAMORPHO180",3,2014,"Spring"
"25/03/2014","RAMORPHO181",3,2014,"Spring"
"08/04/2014","RAMORPHO182",4,2014,"Spring"
"23/04/2014","RAMORPHO183",4,2014,"Spring"
"07/05/2014","RAMORPHO184",5,2014,"Spring"
"22/05/2014","RAMORPHO185",5,2014,"Spring"
"05/06/2014","RAMORPHO186",6,2014,"Summer"
"20/06/2014","RAMORPHO187",6,2014,"Summer"
"07/07/2014","RAMORPHO188",7,2014,"Summer"
"21/07/2014","RAMORPHO189",7,2014,"Summer"
"05/08/2014","RAMORPHO190",8,2014,"Summer"
"19/08/2014","RAMORPHO191",8,2014,"Summer"
"04/09/2014","RAMORPHO192",9,2014,"Autumn"
"18/09/2014","RAMORPHO193",9,2014,"Autumn"
"02/10/2014","RAMORPHO194",10,2014,"Autumn"
"16/10/2014","RAMORPHO195",10,2014,"Autumn"
"31/10/2014","RAMORPHO196",10,2014,"Autumn"
"14/11/2014","RAMORPHO197",11,2014,"Autumn"
"01/12/2014","RAMORPHO198",12,2014,"Winter"
"15/12/2014","RAMORPHO199",12,2014,"Winter"
"14/01/2015","RAMORPHO200",1,2015,"Winter"
"28/01/2015","RAMORPHO201",1,2015,"Winter"
"12/02/2015","RAMORPHO202",2,2015,"Winter"
"27/02/2015","RAMORPHO203",2,2015,"Winter"
