Type,assignment,genus
Expected,Abudefduf luridus,Abudefduf
Expected,Abudefduf saxatilis,Abudefduf
Expected,Acanthurus chirurgus,Acanthurus
Expected,Acanthurus coeruleus,Acanthurus
Expected,Aetomylaeus bovinus,Aetomylaeus
Expected,Anisotremus virginicus,Anisotremus
Expected,Argyrosomus regius,Argyrosomus
Expected,Caranx crysos,Caranx
Expected,Caranx hippos,Caranx
Expected,Caranx latus,Caranx
Expected,Caranx ruber,Caranx
Expected,Carcharhinus acronotus,Carcharhinus
Expected,Carcharhinus melanopterus,Carcharhinus
Expected,Carcharhinus plumbeus,Carcharhinus
Expected,Carcharias taurus,Carcharias
Expected,Chaetodipterus faber,Chaetodipterus
Expected,Chaetodon auriga,Chaetodon
Expected,Chaetodon lunula,Chaetodon
Expected,Chaetodon rafflesii,Chaetodon
Expected,Chelmon rostratus,Chelmon
Expected,Diagramma pictum,Diagramma
Expected,Diplodus cervinus,Diplodus
Expected,Diplodus sargus,Diplodus
Expected,Diplodus vulgaris,Diplodus
Expected,Epinephelus lanceolatus,Epinephelus
Expected,Epinephelus marginatus,Epinephelus
Expected,Glaucostegus cemiculus ,Glaucostegus
Expected,Forcipiger flavissimus,Forcipiger
Expected,Gnathanodon speciosus,Gnathanodon
Expected,Gymnothorax funebris,Gymnothorax
Expected,Haemulon flavolineatum,Haemulon
Expected,Haemulon macrostoma,Haemulon
Expected,Heniochus acuminatus,Heniochus
Expected,Himantura undulata,Himantura
Expected,Hypanus americanus,Hypanus
Expected,Labroides dimidiatus,Labroides
Expected,Lachnolaimus maximus,Lachnolaimus
Expected,Lutjanus apodus,Lutjanus
Expected,Lutjanus griseus,Lutjanus
Expected,Mobula hypostoma,Mobula
Expected,Mobula mobular,Mobula
Expected,Mola mola,Mola
Expected,Myliobatis aquila,Myliobatis
Expected,Myripristis jacobus,Myripristis
Expected,Naso lituratus,Naso
Expected,Ocyurus chrysurus,Ocyurus
Expected,Paranthias furcifer,Paranthias
Expected,Pomacanthus imperator,Pomacanthus
Expected,Pomacanthus paru,Pomacanthus
Expected,Rhinobatos rhinobatos,Rhinobatos
Expected,Rhynchobatus australiae,Rhynchobatus
Expected,Scomber colias,Scomber
Expected,Selene vomer,Selene
Expected,Sphyraena barracuda,Sphyraena
Expected,Stegostoma tigrinum,Stegostoma
Expected,Symphorichthys spilurus,Symphorichthys
Expected,Taeniura grabata,Taeniura
Expected,Trachinotus ovatus,Trachinotus
Expected,Trachurus trachurus,Trachurus
Expected,Triaenodon obesus,Triaenodon
In_Feed,Clupea harengus,Clupea
In_Feed,Engraulis encrasicolus,Engraulis
In_Feed,Mallotus villosus,Mallotus
In_Feed,Oncorhynchus kisutch,Oncorhynchus
In_Feed,Osmerus eperlanus,Osmerus
In_Feed,Sebastes mentella,Sebastes
