"entryID","submissionID","submitterID","marker","referenceDB","pipeline","sampleID","referenceDB_simplified","error_rate_tool","ASV.OTU","tax_assign_cat","otu_seq_comp_appr","tax_class_id_cutoff","tax_class_evalue","tax_class_query_cutoff","tax_class_collapse","screen_other","screen_explanation","PC1","PC2"
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel_A","AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","A","12SAllFishDez2023","other","OTU","sequence similarity","vsearch",80,NA,NA,"LCA","YES","Remove singletons n=5 (abundance)",0.0817404430575508,-0.249610899085607
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel_B","AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","B","12SAllFishDez2023","other","OTU","sequence similarity","vsearch",80,NA,NA,"LCA","YES","Remove singletons n=5 (abundance)",-0.00968000637056591,-0.224972800021526
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel_C","AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","C","12SAllFishDez2023","other","OTU","sequence similarity","vsearch",80,NA,NA,"LCA","YES","Remove singletons n=5 (abundance)",0.0155221165879117,-0.266097772833809
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel_A","AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","A","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.6,NA,NA,NA,"YES","Remove singletons n=5 (abundance); s=2 (number of samples)",0.257444876975833,0.020373326805361
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel_B","AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","B","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.6,NA,NA,NA,"YES","Remove singletons n=5 (abundance); s=2 (number of samples)",0.279077673202774,0.0248266492126505
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel_C","AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","C","16SAllFishDez2023","dada2","ASV","sequence composition","dada2",0.6,NA,NA,NA,"YES","Remove singletons n=5 (abundance); s=2 (number of samples)",0.283042288271905,0.00084492586772459
"AudreyBourret_12S_12SAllFishDez2023_MLI_A","AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","A","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",0.0899578400735402,-0.251670753775765
"AudreyBourret_12S_12SAllFishDez2023_MLI_B","AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","B","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",0.0210937104185921,-0.253727115458316
"AudreyBourret_12S_12SAllFishDez2023_MLI_C","AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","C","12SAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",0.0338291636295931,-0.278800082325219
"AudreyBourret_16S_NCBI_MLI_A","AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","A","NCBI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",0.319834159172623,0.00768725479140097
"AudreyBourret_16S_NCBI_MLI_B","AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","B","NCBI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",0.312853031275361,0.0157075707354015
"AudreyBourret_16S_NCBI_MLI_C","AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","C","NCBI","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",0.355928566006897,0.011395832458671
"AudreyBourret_COI_COIAllFishDez2023_MLI_A","AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","A","COIAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",-0.332183372093928,0.0395216043646579
"AudreyBourret_COI_COIAllFishDez2023_MLI_B","AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","B","COIAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",-0.371232375149602,0.0389881301233524
"AudreyBourret_COI_COIAllFishDez2023_MLI_C","AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","C","COIAllFishDez2023","dada2","ASV","sequence similarity","blastn",95,1e-50,95,"LCA","YES","ASV table correction for tagjumping, min reads, contaminants, high contaminant samples",-0.39716128367306,-0.00899561888450553
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5_A","ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","A","12SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,0.0960058431759109,-0.00848586285456156
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5_C","ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","C","12SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,0.0958709165410491,-0.00829936345197065
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5_A","ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","A","16SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,0.254593010847992,0.269682503769106
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5_B","ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","B","16SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,0.264468306318276,0.306931780728522
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5_C","ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","C","16SAllFishDez2023","dada2","ASV","sequence composition","qiime2",0.7,NA,NA,NA,NA,NA,0.273137490078249,0.289969015791641
