"entryID","submissionID","submitterID","marker","referenceDB","pipeline","sampleID","PC1","PC2"
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel_A","AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","A",-0.2597522593039,-0.0225760866324537
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel_B","AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","B",-0.247786590714882,0.0142671780873067
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel_C","AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","C",-0.25399641175483,0.00576654740110493
"AudreyBourret_12S_12SAllFishDez2023_MLI_A","AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","A",-0.251659454574669,-0.0481025000194652
"AudreyBourret_12S_12SAllFishDez2023_MLI_B","AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","B",-0.263161201824513,-0.00982314624175988
"AudreyBourret_12S_12SAllFishDez2023_MLI_C","AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","C",-0.260416553833793,-0.0306034359296041
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5_A","ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","A",0.285686981188987,-0.240440844245546
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5_C","ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","C",0.285288129302869,-0.240314882602045
"EnoraGeslain_12S_12SAllFishDez2023_MiFish_A","EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","A",-0.125486624964355,0.331113663645619
"EnoraGeslain_12S_12SAllFishDez2023_MiFish_B","EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","B",-0.0893468501166981,0.352826076466441
"EnoraGeslain_12S_12SAllFishDez2023_MiFish_C","EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","C",-0.115721371339639,0.359316861315824
"EvanMorien_12S_12SAllFishDez2023_DADA2_A","EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","A",0.108577187665444,-0.294341925454437
