"submissionID","submitterID","marker","referenceDB","pipeline","sampleID","specnumber","shannon","simpson","hillq0","hillq1","hillq15"
"adamBennett_12S_12SAllFishDez2023_minderoo","adamBennett","12S","12SAllFishDez2023","minderoo","A",42,2.70435468418826,0.882562128872392,42,14.9446695465739,10.6135613691748
"adamBennett_12S_12SAllFishDez2023_minderoo","adamBennett","12S","12SAllFishDez2023","minderoo","B",41,2.7301705312703,0.890499966404171,41,15.3355019795679,11.1886501507856
"adamBennett_12S_12SAllFishDez2023_minderoo","adamBennett","12S","12SAllFishDez2023","minderoo","C",43,2.70307423144155,0.892103825697709,43,14.9255458495125,11.1116540094202
"adamBennett_16S_16SAllFishDez2023_minderoo","adamBennett","16S","16SAllFishDez2023","minderoo","A",41,2.89064329612535,0.914725171964708,41,18.0048883517825,13.9437399179042
"adamBennett_16S_16SAllFishDez2023_minderoo","adamBennett","16S","16SAllFishDez2023","minderoo","B",38,2.79638166327415,0.904319483717327,38,16.3852520216447,12.5546183105781
"adamBennett_16S_16SAllFishDez2023_minderoo","adamBennett","16S","16SAllFishDez2023","minderoo","C",37,2.74898911635985,0.910384413404731,37,15.6268269933263,12.6767851639967
"adamBennett_COI_COIMetazoa_minderoo","adamBennett","COI","COIMetazoa","minderoo","A",27,2.08017996827251,0.810208425680385,27,8.0059095943737,6.12022207778189
"adamBennett_COI_COIMetazoa_minderoo","adamBennett","COI","COIMetazoa","minderoo","B",20,2.12801646992198,0.814915029623248,20,8.39819221276814,6.4470363588919
"adamBennett_COI_COIMetazoa_minderoo","adamBennett","COI","COIMetazoa","minderoo","C",24,2.20911059015134,0.806079751358631,24,9.10761238952722,6.46631830585458
"adamBennett_COI_COIAllFishDez2023_minderoo","adamBennett","COI","COIAllFishDez2023","minderoo","A",NA,NA,NA,NA,NA,NA
"adamBennett_COI_COIAllFishDez2023_minderoo","adamBennett","COI","COIAllFishDez2023","minderoo","B",NA,NA,NA,NA,NA,NA
"adamBennett_COI_COIAllFishDez2023_minderoo","adamBennett","COI","COIAllFishDez2023","minderoo","C",NA,NA,NA,NA,NA,NA
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","C",50,2.70127883989933,0.893416084102346,50,14.8987726920732,11.162403908354
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","A",48,2.70376277902185,0.883011208127828,48,14.935826336888,10.6413146667146
"AlejandroAbdala_12S_12SAllFishDez2023_cascabel","AlejandroAbdala","12S","12SAllFishDez2023","cascabel","B",48,2.74130274591629,0.891736743607318,48,15.5071738504831,11.2971516893534
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","A",44,3.01344728955487,0.921582401101755,44,20.357457151492,15.4676435166324
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","B",42,2.89562496463474,0.912053401173002,42,18.0948065224008,13.7457354148195
"AlejandroAbdala_16S_16SAllFishDez2023_cascabel","AlejandroAbdala","16S","16SAllFishDez2023","cascabel","C",41,2.97737355942897,0.924927216441106,41,19.6361756101116,15.6385658200119
"AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","A",39,2.6543168040139,0.881681506411457,39,14.2152709250007,10.3478450757521
"AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","B",40,2.64002368581274,0.881372035869485,40,14.013535525781,10.2444494010316
"AudreyBourret_12S_12SAllFishDez2023_MLI","AudreyBourret","12S","12SAllFishDez2023","MLI","C",40,2.61602868620116,0.886218737056428,40,13.6812828885622,10.3780843194025
"AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","A",30,2.30096247726399,0.847718295982008,30,9.98378699999108,7.66444914821663
"AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","B",22,2.28561919047372,0.845636927279564,22,9.83177207928244,7.67404917589914
"AudreyBourret_COI_COIAllFishDez2023_MLI","AudreyBourret","COI","COIAllFishDez2023","MLI","C",25,2.37410579653843,0.840775196512666,25,10.7414038898432,7.84480904141115
"AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","A",37,2.80903649961599,0.907064933917139,37,16.5939222634965,12.8105422014846
"AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","B",32,2.70118096426565,0.897120509200813,32,14.8973145366151,11.5733697288442
"AudreyBourret_16S_NCBI_MLI","AudreyBourret","16S","NCBI","MLI","C",33,2.62218786922944,0.900589782903921,33,13.7658084509292,11.2750112169542
"aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","A",32,2.54552126467695,0.872199158078095,32,12.749872412313,9.50027146207701
"aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","B",34,2.62669848469586,0.884002173253936,34,13.828040967398,10.3916794851974
"aurelieBonin_12S_12SAllFishDez2023_OBITools","aurelieBonin","12S","12SAllFishDez2023","OBITools","C",35,2.58247766454818,0.885703836734694,35,13.2298767819277,10.2648262183725
"aurelieBonin_16S_16SAllFishDez2023_OBITools","aurelieBonin","16S","16SAllFishDez2023","OBITools","A",10,1.4676777695168,0.714737599271884,10,4.3391469327456,3.76398676342159
"aurelieBonin_16S_16SAllFishDez2023_OBITools","aurelieBonin","16S","16SAllFishDez2023","OBITools","B",12,1.5151186157267,0.717243859864681,12,4.5499607917444,3.85137883305351
"aurelieBonin_16S_16SAllFishDez2023_OBITools","aurelieBonin","16S","16SAllFishDez2023","OBITools","C",11,1.38892535518051,0.696233794789901,11,4.01053783265133,3.51208546168345
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","A",204,3.59531471781512,0.920827888021416,204,36.427162461043,19.4670277661876
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","B",204,3.56687277286138,0.919925014232705,204,35.4056981849034,18.9708698910343
"chrisHempel_12S_12SAllFishDez2023_ApscaleModified","chrisHempel","12S","12SAllFishDez2023","ApscaleModified","C",200,3.61908977140332,0.927120886103473,200,37.3035975627876,20.6718270312725
"chrisHempel_COI_BOLD_ApscaleModified","chrisHempel","COI","BOLD","ApscaleModified","A",22,1.84733854343488,0.756418813932382,22,6.34291564362828,4.81487033139026
"chrisHempel_COI_BOLD_ApscaleModified","chrisHempel","COI","BOLD","ApscaleModified","B",18,1.79199108798108,0.723227755305176,18,6.00138987347231,4.39321786936044
"chrisHempel_COI_BOLD_ApscaleModified","chrisHempel","COI","BOLD","ApscaleModified","C",18,1.57688076343276,0.622601258297429,18,4.83983564947887,3.28559305428619
"chrisHempel_16S_16SAllFishDez2023_ApscaleModified","chrisHempel","16S","16SAllFishDez2023","ApscaleModified","A",27,2.51202600396327,0.886035525540603,27,12.3298851686187,10.0222775522462
"chrisHempel_16S_16SAllFishDez2023_ApscaleModified","chrisHempel","16S","16SAllFishDez2023","ApscaleModified","B",25,2.40936136567938,0.868759529191587,25,11.1268528853845,8.89561548555556
"chrisHempel_16S_16SAllFishDez2023_ApscaleModified","chrisHempel","16S","16SAllFishDez2023","ApscaleModified","C",23,2.27224605287234,0.864815268696056,23,9.70116569345893,8.21488656598804
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","A",187,3.90272229044937,0.963062718775824,187,49.5371201445782,34.3188305488914
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","B",188,3.85939966619405,0.959041289109332,188,47.4368648653765,31.6691463702127
"chrisHempel_12S_12SAllFishDez2023MIDORI2_ApscaleModified","chrisHempel","12S","12SAllFishDez2023MIDORI2","ApscaleModified","C",183,3.85512370317602,0.960133133281501,183,47.2344596325619,32.237783762291
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","A",771,5.0291349374905,0.978643735217722,771,152.800773285791,74.1995845245762
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","B",800,4.9785298272272,0.97572658951111,800,145.260666316293,66.8348838284532
"ElisaBanchi_12S_12SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","12S","12SAllFishDez2023","QIIME2v.2023.5","C",696,4.92338761578228,0.976800764978488,696,137.467512406484,67.599122950487
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","A",584,4.45425441730301,0.960891439503696,584,85.9920127811848,40.892671516474
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","B",609,4.28964805967784,0.947317875905645,609,72.9407931755581,31.6031654726997
"ElisaBanchi_16S_16SAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","16S","16SAllFishDez2023","QIIME2v.2023.5","C",544,4.222223420845,0.948483010128493,544,68.1849196464249,30.8660257282887
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","A",34,2.422532679838,0.865977593221937,34,11.2743775745963,8.67677527934508
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","B",24,2.38748380344964,0.855610811146112,24,10.8860679662742,8.36246357023974
"ElisaBanchi_COI_COIAllFishDez2023_QIIME2v.2023.5","ElisaBanchi","COI","COIAllFishDez2023","QIIME2v.2023.5","C",29,2.31571104313459,0.837078196343931,29,10.1321247357707,7.40145989033704
"emmaStrand_COI_COIAllFishDez2023_nf-coreAmpliseq","emmaStrand","COI","COIAllFishDez2023","nf-coreAmpliseq","A",25,2.18405434524703,0.826937415894622,25,8.88224504334576,6.82485688885456
"emmaStrand_COI_COIAllFishDez2023_nf-coreAmpliseq","emmaStrand","COI","COIAllFishDez2023","nf-coreAmpliseq","B",18,2.13278356615519,0.830554587171019,18,8.43832278037234,6.78152473415721
"emmaStrand_COI_COIAllFishDez2023_nf-coreAmpliseq","emmaStrand","COI","COIAllFishDez2023","nf-coreAmpliseq","C",20,2.40934840756195,0.868507902169341,20,11.1267087032523,8.94722409390433
"emmaStrand_12S_12SAllFishDez2023_nf-coreAmpliseq","emmaStrand","12S","12SAllFishDez2023","nf-coreAmpliseq","A",NA,NA,NA,NA,NA,NA
"emmaStrand_12S_12SAllFishDez2023_nf-coreAmpliseq","emmaStrand","12S","12SAllFishDez2023","nf-coreAmpliseq","B",NA,NA,NA,NA,NA,NA
"emmaStrand_12S_12SAllFishDez2023_nf-coreAmpliseq","emmaStrand","12S","12SAllFishDez2023","nf-coreAmpliseq","C",NA,NA,NA,NA,NA,NA
"EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","A",32,2.57817538899715,0.873932789699287,32,13.1730804708025,9.71343203775608
"EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","B",40,2.66244870820003,0.881105370565151,40,14.3313394355332,10.2962904655553
"EnoraGeslain_12S_12SAllFishDez2023_MiFish","EnoraGeslain","12S","12SAllFishDez2023","MiFish","C",31,2.54398258583044,0.879779486787063,31,12.7302695384676,9.79272538300255
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","A",23,2.22953920031076,0.832535059258111,23,9.2955816912824,7.07405202861278
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","B",23,2.30435240370528,0.843448284696997,23,10.0176887332521,7.67402947665467
"EnoraGeslain_COI_COIMetazoaSep2024_MiFish","EnoraGeslain","COI","COIMetazoaSep2024","MiFish","C",27,2.34901467106848,0.825387707364686,27,10.4752430779218,7.29982438343053
"EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","A",33,2.56164405289387,0.871238321112731,33,12.9571019751942,9.51513035748002
"EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","B",31,2.51941613452455,0.871927639998126,31,12.4213421531126,9.34650595363907
"EvanMorien_12S_12SAllFishDez2023_DADA2","EvanMorien","12S","12SAllFishDez2023","DADA2","C",32,2.54319020023259,0.881197207333003,32,12.7201862516818,9.85928533285019
"EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","A",36,2.65967704146302,0.879431734650084,36,14.2916727355532,10.3075815264223
"EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","B",35,2.66332249751407,0.885910417980677,35,14.3438674794261,10.6503113710912
"EvanMorien_12S_NCBILCABestHit_DADA2","EvanMorien","12S","NCBILCABestHit","DADA2","C",36,2.66012427470519,0.890406121372325,36,14.2980658761926,10.857057340407
"EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","A",36,2.65967704146302,0.879431734650084,36,14.2916727355532,10.3075815264223
"EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","B",35,2.66332249751407,0.885910417980677,35,14.3438674794261,10.6503113710912
"EvanMorien_12S_NCBILCA_DADA2","EvanMorien","12S","NCBILCA","DADA2","C",36,2.66012427470519,0.890406121372325,36,14.2980658761926,10.857057340407
"EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","A",29,2.65445750838673,0.896303495515035,29,14.2172712165024,11.3142658021333
"EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","B",30,2.63806983311366,0.891088946976754,30,13.9861818727767,10.8993367665764
"EvanMorien_16S_16SAllFishDez2023_DADA2","EvanMorien","16S","16SAllFishDez2023","DADA2","C",27,2.55398990947518,0.894865769731539,27,12.858305043669,10.6560115203902
"EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","A",30,2.70919979425218,0.900245109390565,30,15.0172538127819,11.874389172775
"EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","B",31,2.69887905649205,0.898363231358302,31,14.863061731002,11.6646059361015
"EvanMorien_16S_NCBILCABestHit_DADA2","EvanMorien","16S","NCBILCABestHit","DADA2","C",28,2.62801490589253,0.898484150285317,28,13.8462564806492,11.2802934751015
"EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","A",29,2.7013313090508,0.89991220291181,29,14.8995544385429,11.8202956454304
"EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","B",31,2.69887905649205,0.898363231358302,31,14.863061731002,11.6646059361015
"EvanMorien_16S_NCBILCA_DADA2","EvanMorien","16S","NCBILCA","DADA2","C",27,2.6157374369344,0.897899858121729,27,13.6772988051615,11.1939866262172
"EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","A",19,2.13896467418456,0.830648907200483,19,8.4906424953922,6.80641567984657
"EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","B",17,2.12745155792297,0.827538866168633,17,8.39344931300379,6.76435417399726
"EvanMorien_COI_COIMetazoa_DADA2","EvanMorien","COI","COIMetazoa","DADA2","C",17,2.06655225683734,0.801004539383335,17,7.89754740996599,6.06289239622343
"EvanMorien_COI_NCBILCABestHit_DADA2","EvanMorien","COI","NCBILCABestHit","DADA2","A",19,2.13896467418456,0.830648907200483,19,8.4906424953922,6.80641567984657
